min,sec,time,Date
4,14.4,4.24,5/31/1913
4,12.6,4.21,7/16/1915
4,10.4,4.173333333,8/23/1923
4,9.2,4.153333333,10/4/1931
4,7.6,4.126666667,7/15/1933
4,6.8,4.113333333,6/16/1934
4,6.4,4.106666667,8/28/1937
4,6.2,4.103333333,7/1/1942
4,6.2,4.103333333,7/10/1942
4,4.6,4.076666667,9/4/1942
4,2.6,4.043333333,7/1/1943
4,1.6,4.026666667,7/18/1944
4,1.4,4.023333333,7/17/1945
3,59.4,3.99,5/6/1954
3,58,3.966666667,6/21/1954
3,57.2,3.953333333,7/19/1957
3,54.5,3.908333333,8/6/1958
3,54.4,3.906666667,1/27/1962
3,54.1,3.901666667,11/17/1964
3,53.6,3.893333333,6/9/1965
3,51.3,3.855,7/17/1966
3,51.1,3.851666667,6/23/1967
3,51,3.85,5/17/1975
3,49.4,3.823333333,8/12/1975
3,49,3.816666667,7/17/1979
3,48.8,3.813333333,7/1/1980
3,48.53,3.808833333,8/19/1981
3,48.4,3.806666667,8/26/1981
3,47.33,3.788833333,8/28/1981
3,46.32,3.772,7/27/1985
3,44.39,3.739833333,9/5/1993
3,43.13,3.718833333,7/7/1999
